Stkcd,Accper,TTM,ROCA,ROE
600048,2016/6/30,0.026387,0.016672,0.067727
600048,2016/6/30,0.020602,0.014784,0.057917
600048,2016/9/30,0.036818,0.024028,0.097031
600048,2016/9/30,0.025356,0.019392,0.075958
600048,2016/12/31,0.0586,0.039166,0.15864
600048,2016/12/31,0.045932,0.044653,0.181131
600048,2017/3/31,0.008556,0.005142,0.021095
600048,2017/3/31,0.001194,-0.000314,-0.001362
600048,2017/6/30,0.020831,0.013639,0.059343
600048,2017/6/30,0.002736,0.000254,0.001182
600048,2017/9/30,0.028122,0.018453,0.082894
600048,2017/9/30,0.003107,-0.000577,-0.002848
600048,2017/12/31,0.048248,0.033797,0.142412
600048,2017/12/31,0.019158,0.018057,0.082375
600048,2018/3/31,0.006478,0.003905,0.017662
600048,2018/3/31,0.000834,-0.000892,-0.004844
600048,2018/6/30,0.019183,0.01233,0.057023
600048,2018/6/30,0.003349,-0.00088,-0.005208
600048,2018/9/30,0.026626,0.017368,0.081576
600048,2018/9/30,0.009209,0.0016,0.009572
600048,2018/12/31,0.049691,0.033869,0.15174
600048,2018/12/31,0.017465,0.016297,0.093118
600048,2019/3/31,0.006482,0.003826,0.017772
600048,2019/3/31,0.001489,-0.000817,-0.005336
600048,2019/6/30,0.021908,0.01457,0.068249
600048,2019/6/30,0.005496,0.001748,0.012019
600048,2019/9/30,0.029313,0.019272,0.091187
600048,2019/9/30,0.005493,-0.000485,-0.003396
600048,2019/12/31,0.056512,0.039957,0.180541
600048,2019/12/31,0.00885,0.00689,0.044936
600048,2020/3/31,0.005644,0.00345,0.015506
600048,2020/3/31,-0.000462,-0.002207,-0.014638
600048,2020/6/30,0.018405,0.012519,0.05619
600048,2020/6/30,0.023946,0.022479,0.14862
600048,2020/9/30,0.025401,0.016805,0.075937
600048,2020/9/30,0.025278,0.022702,0.158599
600048,2020/12/31,0.048759,0.03506,0.161433
600048,2020/12/31,0.03873,0.036037,0.235564
600048,2021/3/31,0.004757,0.002991,0.014027
600048,2021/3/31,0.000079,-0.001244,-0.008119
600048,2021/6/30,0.015481,0.011152,0.051453
600048,2021/6/30,0.002813,0.001066,0.007329
600048,2021/9/30,0.021059,0.014646,0.067467
600048,2021/12/31,0.040297,0.028053,0.130578
600048,2021/12/31,0.025924,0.02342,0.165576
600048,2022/3/31,0.004211,0.002732,0.012574
600048,2022/3/31,-0.000112,-0.000915,-0.007177
600048,2022/6/30,0.015077,0.010537,0.047776
600048,2022/6/30,0.010785,0.009179,0.073411
600048,2022/9/30,0.019327,0.013265,0.060665
600048,2022/9/30,0.028959,0.025765,0.186819
600048,2022/12/31,0.027165,0.01882,0.086421
600048,2022/12/31,0.034536,0.031001,0.229764
600048,2023/3/31,0.004063,0.002718,0.012337
600048,2023/3/31,-0.000579,-0.002384,-0.017119
600048,2023/6/30,0.014834,0.010378,0.046237
600048,2023/6/30,0.019385,0.018556,0.131201
600048,2023/9/30,0.017464,0.011626,0.051535
