Stkcd,Accper,bes
601919,2020/12/31,0.81
601919,2021/3/31,1.26
601919,2021/6/30,2.33
601919,2021/9/30,4.23
601919,2021/12/31,5.59
601919,2022/3/31,1.72
601919,2022/6/30,4.04
601919,2022/9/30,6.06
601919,2022/12/31,6.83
601919,2023/3/31,0.44
601919,2023/6/30,1.03
601919,2023/9/30,1.37
601919,2023/12/31,1.48
601919,2024/3/31,0.42
601919,2024/6/30,1.05
601919,2024/9/30,2.38
601919,2024/12/31,3.08
601919,2025/3/31,0.74
601919,2025/6/30,1.12
