Stkcd,Accper,Source,CR,CaR,DER,DAR
601390,2004/12/31,1,1.015123,0.199797,10.811477,0.915337
601390,2005/12/31,1,0.996139,0.198,11.324229,0.918859
601390,2006/12/31,1,0.990815,0.250617,13.554043,0.931291
601390,2007/6/30,1,0.98039,0.156693,13.089563,0.929025
601390,2007/12/31,0,1.26015,0.415622,2.652039,0.72618
601390,2008/3/31,0,1.283126,0.418843,2.652603,0.726223
601390,2008/6/30,0,1.251017,0.342579,2.849596,0.740233
601390,2008/9/30,0,1.225738,0.296552,3.11326,0.756884
601390,2008/12/31,0,1.161584,0.282979,3.1263,0.757652
601390,2009/3/31,0,1.160369,0.311328,3.242625,0.764297
601390,2009/6/30,0,1.151205,0.274531,3.371264,0.771233
601390,2009/9/30,0,1.164025,0.232941,3.44842,0.775201
601390,2009/12/31,0,1.129132,0.234538,3.698377,0.787161
601390,2010/3/31,0,1.180197,0.268956,3.73782,0.788932
601390,2010/6/30,0,1.143629,0.203845,3.878692,0.795027
601390,2010/9/30,0,1.144488,0.187478,3.801867,0.791748
601390,2010/12/31,0,1.128876,0.207491,4.268594,0.810196
601390,2011/3/31,0,1.160008,0.211372,4.416634,0.815384
601390,2011/6/30,0,1.14696,0.193892,4.77518,0.826845
601390,2011/9/30,0,1.163065,0.160658,4.779763,0.826983
601390,2011/12/31,0,1.177803,0.197185,4.761909,0.826446
601390,2012/3/31,0,1.212524,0.204427,4.762689,0.82647
601390,2012/6/30,0,1.206657,0.168016,5.054025,0.834821
601390,2012/9/30,0,1.210883,0.195715,5.120843,0.836624
601390,2012/12/31,0,1.187336,0.185103,5.21849,0.839189
601390,2013/3/31,0,1.191484,0.200926,5.236975,0.839666
601390,2013/6/30,0,1.198665,0.187721,5.692349,0.850576
601390,2013/9/30,0,1.232434,0.194473,5.598084,0.848441
601390,2013/12/31,0,1.19683,0.18006,5.489675,0.845909
601390,2014/3/31,0,1.203935,0.18091,5.407234,0.843926
601390,2014/6/30,0,1.188623,0.159853,5.640284,0.849404
601390,2014/9/30,0,1.193073,0.169844,5.322785,0.841842
601390,2014/12/31,0,1.157411,0.145772,5.262822,0.840328
601390,2015/3/31,0,1.183272,0.137316,4.878825,0.829898
601390,2015/6/30,0,1.181333,0.129316,4.781201,0.827026
601390,2015/9/30,0,1.209053,0.169373,4.351069,0.813121
601390,2015/12/31,0,1.201856,0.19833,4.119526,0.804669
601390,2016/3/31,0,1.209311,0.162273,4.034094,0.801355
601390,2016/6/30,0,1.188373,0.159999,4.108564,0.80425
601390,2016/9/30,0,1.201726,0.168995,4.027585,0.801097
601390,2016/12/31,0,1.174308,0.226667,4.058416,0.80231
601390,2017/3/31,0,1.184924,0.174062,3.835806,0.793209
601390,2017/6/30,0,1.175444,0.152107,3.773768,0.790522
601390,2017/9/30,0,1.16803,0.154711,3.803404,0.791814
601390,2017/12/31,0,1.134718,0.200593,3.9734,0.79893
601390,2018/3/31,0,1.071045,0.148469,3.767313,0.790238
601390,2018/6/30,0,1.108125,0.152424,3.664389,0.78561
601390,2018/9/30,0,1.093911,0.139155,3.684047,0.786509
601390,2018/12/31,0,1.046944,0.189197,3.243536,0.764347
601390,2019/3/31,0,1.034154,0.136878,3.263658,0.76546
601390,2019/6/30,0,1.06052,0.146142,3.403972,0.772932
601390,2019/9/30,0,1.062348,0.151339,3.401251,0.772792
601390,2019/12/31,0,1.049548,0.204406,3.302621,0.767584
601390,2020/3/31,0,1.056202,0.182288,3.236872,0.763977
601390,2020/6/30,0,1.024651,0.162551,3.284265,0.766588
601390,2020/9/30,0,1.038437,0.176733,3.262594,0.765401
601390,2020/12/31,0,1.051965,0.206289,2.831878,0.739031
601390,2021/3/31,0,1.05028,0.175457,2.8496,0.740233
601390,2021/6/30,0,1.030699,0.160321,2.891544,0.743033
601390,2021/9/30,0,1.042923,0.166842,2.901818,0.743709
601390,2021/12/31,0,1.016408,0.187997,2.800068,0.736847
601390,2022/3/31,0,1.039008,0.150032,2.796045,0.736568
601390,2022/6/30,0,1.05896,0.181992,2.859029,0.740867
601390,2022/9/30,0,1.051069,0.20196,2.822175,0.738369
601390,2022/12/31,0,1.028846,0.234708,2.8131,0.737746
601390,2023/3/31,0,1.035282,0.200534,2.80396,0.737116
601390,2023/6/30,0,1.010297,0.187103,2.951665,0.746942
601390,2023/9/30,0,1.002526,0.174907,2.87632,0.742023
601390,2023/12/31,0,0.995105,0.194084,2.977889,0.74861
601390,2024/3/31,0,0.991759,0.1485,2.943963,0.746448
601390,2024/6/30,0,0.992992,0.136214,3.252153,0.764825
601390,2024/9/30,0,0.977496,0.129051,3.347262,0.76997
601390,2024/12/31,0,0.990515,0.156312,3.423127,0.773916
601390,2025/3/31,0,0.958493,0.108536,3.405604,0.773016
601390,2025/6/30,0,0.961173,0.115586,3.563137,0.780853
601919,2005/12/31,1,1.065818,0.590507,1.136027,0.531841
601919,2006/12/31,1,1.048011,0.47169,1.118536,0.527976
601919,2007/6/30,0,1.648703,1.057194,0.79194,0.441945
601919,2007/9/30,0,1.808346,1.147829,0.843105,0.457437
601919,2007/12/31,0,1.251196,0.857948,1.104444,0.524815
601919,2008/3/31,0,1.320338,0.850671,0.967929,0.491851
601919,2008/6/30,0,1.713616,1.05391,0.838304,0.45602
601919,2008/9/30,0,1.890604,1.230635,0.802726,0.445285
601919,2008/12/31,0,1.839171,1.319775,0.910241,0.476506
601919,2009/3/31,0,1.663018,1.232457,1.038009,0.509325
601919,2009/6/30,0,1.756178,1.370418,1.379329,0.579713
601919,2009/9/30,0,2.059216,1.570047,1.45478,0.592631
601919,2009/12/31,0,2.039241,1.629181,1.596229,0.614826
601919,2010/3/31,0,2.008859,1.555523,1.602348,0.615732
601919,2010/6/30,0,2.006785,1.495138,1.466982,0.594646
601919,2010/9/30,0,2.176279,1.642615,1.478516,0.596533
601919,2010/12/31,0,2.14858,1.638975,1.424758,0.587588
601919,2011/3/31,0,1.839079,1.364257,1.496481,0.599436
601919,2011/6/30,0,1.51343,1.072842,1.659004,0.623919
601919,2011/9/30,0,1.355129,0.934058,1.812008,0.644382
601919,2011/12/31,0,1.339653,0.992543,2.138035,0.681329
